country_feature,age_feature,days_since_first_funding,category_score,market_score,postA_tweet_num,postA_tweet_freq,postA_tweet_avglength,postA_tweet_content_richness,postA_tweet_interactiveness,tweets_pos_topic_score,tweets_neg_topic_score,tweets_neg_sent_score,tweets_neu_sent_score,tweets_pos_sent_score,tweets_compound_sent_score,WILL
1,3743.0,3651,267.0304823,296.62396079,674,1.3249087335018253,118.69139465875372,1.9094955489614245,1.663204747774481,0.014554543,0.016456723,0.016640000000000002,0.8624700000000001,0.12087,0.16178199999999998,1
0,1573.0,1309,113.31515983,269.58455843,1025,6.74342105263158,99.5619512195122,1.4409756097560975,0.9434146341463414,0.016583594,0.013952286,0.03135,0.8663299999999999,0.1023,0.107966,1
0,1674.0,1098,105.2422814,296.66775464,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,1613.0,1460,140.94000477,296.66775464,678,13.038461538461535,114.98967551622421,0.6091445427728613,0.13274336283185842,0.0063674701,0.0061365827000000005,0.00873,0.98461,0.006659999999999999,0.001435,0
0,3286.0,2556,143.38167979,257.85344119,1286,3.931004366812227,97.46578538102644,0.9020217729393468,1.4828926905132194,0.01176623,0.0058599855000000005,0.02066,0.91172,0.0676,0.091458,1
1,3651.0,1962,376.5596192,563.41880405,392,2.182975338106603,105.8188775510204,0.6938775510204082,1.8979591836734693,0.0064969179,0.0069150394,0.02298,0.7318399999999999,0.23519,0.285218,1
1,1674.0,1340,12.08981777,256.91443481,9244,39.72252915899325,101.49188662916487,1.1435525746430115,1.0056252704456945,0.016138298,0.0076282211,0.01293,0.75256,0.23451,0.289249,1
1,3286.0,2226,-1.67411843,256.91443481,800,9.395973154362416,112.7,0.06,0.64,0.010542026,0.010478074,0.03467,0.7500100000000001,0.21531,0.278109,1
1,2798.0,1532,45.00295167,234.93810305,622,11.961538461538465,101.89389067524117,1.0369774919614148,0.9935691318327974,0.0050645364,0.010176106,0.0091,0.8664200000000001,0.12448,0.161589,0
1,2343.0,2556,271.20418305,232.91890995,324,2.125585754451734,101.70987654320987,0.2345679012345679,0.5679012345679012,0.012723144,0.0077690468,0.057,0.70812,0.22488,0.229107,1
1,5843.0,1092,370.55056607,356.91184330000004,2953,48.18414918414918,114.7145275990518,2.7331527260413138,0.3904503894344734,0.01456074,0.0061335987,0.01182,0.83444,0.15375,0.2315,1
0,2556.0,1203,38.75594845,222.82225302,32,0.9411764705882352,108.8125,0.3125,0.5,0.0046923137,0.0040260283,0.0,0.96225,0.03775,0.0464375,0
1,3286.0,1706,389.8268634,333.13595459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,4017.0,1910,59.31565437,274.46955061,258,1.0,120.96511627906976,1.3255813953488371,0.5232558139534884,0.0096719116,0.007051600600000002,0.01209,0.8252299999999999,0.16266,0.212508,1
1,7304.0,2344,350.07091495,179.50551884,3674,16.942028985507246,111.75993467610235,1.3922155688622757,0.8960261295590637,0.016085684,0.016626375,0.02225,0.71836,0.25939,0.396255,1
1,2801.0,2587,463.98940099,356.91184330000004,10515,26.1846318036286,109.26000951022348,2.0274845458868285,2.537803138373752,0.0061827246,0.0067205136,0.01643,0.86635,0.11723,0.179097,1
0,4382.0,1233,435.47914592,300.98929593,3004,16.662440570522982,115.728362183755,1.2566577896138482,0.9417443408788282,0.004795489799999999,0.0049289744,0.03777,0.90753,0.0547,0.026507,1
0,2525.0,1095,314.34953718,356.91184330000004,838,16.115384615384613,102.97016706443914,1.3985680190930787,0.0513126491646778,0.011632621,0.013581343,0.03434,0.8191,0.10656,0.07594400000000001,0
1,2556.0,1587,409.76468757,322.3167028,10448,43.2501478415139,117.49799004594179,2.0955206738131698,1.7604326186830015,0.011043913999999998,0.010836571,0.02299,0.74935,0.22767,0.256653,1
1,2009.0,1624,314.34953718,356.91184330000004,1360,5.593419506462983,112.3125,1.1625,2.045588235294117,0.015570271,0.0077286987,0.02312,0.8064600000000001,0.17042000000000002,0.224662,1
1,1825.0,1330,43.09756722,182.81355994,90,1.0096153846153846,138.81111111111107,1.1555555555555554,0.2,0.018989071,0.02272786,0.021366667,0.86521111,0.11342222,0.15991111,1
0,1401.0,1080,236.35395523,319.55857982,193,4.169753086419753,92.72020725388602,1.2227979274611398,1.0621761658031088,0.0066370061,0.012936139,0.01058,0.6518,0.32762,0.368626,0
1,2921.0,1199,83.27770612,232.91890995,353,3.5451936872309906,114.54390934844193,0.8555240793201133,0.4759206798866856,0.018599845,0.015988985,0.01996,0.78913,0.18091,0.250334,1
0,2190.0,2131,113.31515983,269.58455843,69,1.3269230769230769,61.52173913043478,0.0,0.5797101449275363,0.0081441812,0.0098977629,0.033521739,0.83882609,0.11315942,0.08694058,0
1,1722.0,1603,113.31515983,269.58455843,482,3.4115267947421635,119.8526970954357,1.099585062240664,1.9730290456431536,0.012661303,0.012097856,0.027010000000000003,0.81434,0.15865,0.17711500000000002,1
1,4017.0,3612,113.31515983,269.58455843,552,1.4375,105.0,1.161231884057971,0.16304347826086954,0.013416332,0.0083270362,0.01161,0.89904,0.08934,0.138722,1
0,1095.0,833,170.9720322,285.23396223,10,0.472972972972973,121.4,1.4,4.2,0.0030771641,0.0029408755,0.0,0.8978,0.1022,0.1711,1
